Collocation/Expression	VN Meaning / Function + EN Pattern Note
resulted in the establishment of	dẫn đến việc thành lập; (Pattern: [cause] resulted in the establishment of [organization/system])
oversee the operation of	giám sát hoạt động của; (Pattern: [person/agency] oversees the operation of [system/company])
in the vicinity of	ở khu vực lân cận; (Used to describe a location near something)
come into use	được đưa vào sử dụng; (Describes when something starts being used)
take advantage of	tận dụng; (Pattern: take advantage of [opportunity/resource])
full-scale regulation	quy định quy mô lớn/toàn diện; (Describes comprehensive rules)
margin of error	biên độ sai sót; (The acceptable amount of mistake)
put into effect	đưa vào thực thi; (To make a rule or plan start working)
bound by regulations	bị ràng buộc bởi các quy định; (To be required to follow rules)
protection afforded by	sự bảo vệ được cung cấp bởi; (The safety that is given by something)
reliance on visual cues	sự phụ thuộc vào tín hiệu thị giác; (The act of depending on what you can see)
possess an instrument rating	có chứng chỉ bay bằng thiết bị; (To have the official qualification to fly with instruments)
a rigorous set of regulations	một bộ quy định nghiêm ngặt; (A group of very strict rules)
explicit ATC clearance	giấy phép rõ ràng từ ATC; (Clear, direct permission from Air Traffic Control)
lose one's license	mất bằng lái; (To have one's official permission to do something taken away)
