according to archaeological evidence	 theo bằng chứng khảo cổ – source attribution
measure / keep time	 đo / giữ thời gian – core timekeeping verbs
coordinate communal activities	 phối hợp hoạt động cộng đồng – manage shared tasks
regulate planting and harvesting	 điều tiết gieo trồng & thu hoạch – control seasonal processes
successive periods of light and darkness	 các giai đoạn sáng tối liên tiếp – cyclical description
solar day / lunar month / solar year	 đơn vị thời gian cơ bản – contrast natural cycles
waxing and waning	 trăng tròn khuyết – cyclical variation
more conspicuous than	 nổi bật hơn so với – comparative frame
influenced more by X than by Y	 chịu ảnh hưởng nhiều bởi X hơn Y – comparative influence pattern
seasonal agriculture was practised	 canh tác theo mùa được tiến hành – passive activity framing
expand northward	 mở rộng về phía bắc – directional growth
municipal calendar	 lịch đô thị (chính quyền) – institutional system
approximate the solar year	 xấp xỉ năm dương – estimation verb phrase
annual flooding of the Nile	 lũ hàng năm sông Nile – recurring natural event
become known as	 trở nên được gọi là – naming outcome
divide the day into 24 equal parts	 chia ngày thành 24 phần – standardisation
measure temporal hours	 đo giờ không đều – historical time concept
length / direction of the sun's shadow	 chiều dài/hướng bóng mặt trời – measurement basis
water clock (sundial's counterpart)	 đồng hồ nước (tương ứng) – analogy pair
depended on in cloudy weather (negative)	 không đáng tin trong thời tiết nhiều mây – reliability limitation
advent of the mechanical clock	 sự ra đời đồng hồ cơ – innovation onset
adjusted to maintain	 điều chỉnh để duy trì – tuning for stability
arose the question of	 nảy sinh câu hỏi về – problem emergence
were superseded by	 bị thay thế bởi – replacement term
weight-driven mechanical clock	 đồng hồ cơ dùng quả nặng – technological descriptor
revolutionary aspect	 khía cạnh mang tính cách mạng – innovation highlight
transfer the power	 truyền lực – mechanical energy passage
coiled spring maintained constant force	 lò xo cuộn giữ lực ổn định – mechanism function
changing tension of its mainspring	 độ căng thay đổi của lò xo chính – dynamic condition
pendulum swung in a large arc	 con lắc dao động cung lớn – inefficiency description
variation on the original	 biến thể của bản gốc – iterative improvement
anchor escapement permitted small arc	 bộ thoát neo cho phép cung nhỏ – efficiency gain
catch and release each tooth	 bắt và nhả từng răng – precision action
beat once a second	 đập mỗi giây – time interval marker
led to the development of	 dẫn tới sự phát triển của – causal innovation
quartz-crystal clock regulate operation	 đồng hồ thạch anh điều tiết hoạt động – modern precision
signals beamed down from satellites	 tín hiệu phát xuống từ vệ tinh – data transmission
calibrate their operation	 hiệu chuẩn hoạt động – fine-tune accuracy
precision navigation equipment	 thiết bị dẫn đường chính xác – technical domain
instant stock-trading systems	 hệ thống giao dịch chứng khoán tức thời – financial tech
nationwide power-distribution grids	 lưới phân phối điện toàn quốc – infrastructure set
so integral ... that	 quá thiết yếu đến mức – emphatic result pattern
dependency on (is recognised only when)	 sự phụ thuộc (chỉ nhận ra khi) – condition of awareness
